swc_id,x,y,z,source_region,source_region_withCorticalRegion
SEU-ALLEN_local_201585_15132_18987_10221_CCFv3.swc,11972.226,3188.625,4010.8,fiber tracts,arb
SEU-ALLEN_local_201585_15133_23834_9277_CCFv3.swc,10817.176,3202.75,6309.25,CENT,CENT2
SEU-ALLEN_local_201585_15134_22506_10187_CCFv3.swc,11993.725,3061.675,5619.9,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15138_30468_9692_CCFv3.swc,11662.25,2917.7,9424.1,AN,ANcr2
SEU-ALLEN_local_201585_15139_20418_9619_CCFv3.swc,11150.125,3248.325,4761.775,CENT,CENT3
SEU-ALLEN_local_201585_15140_18337_10822_CCFv3.swc,12885.8,2976.975,3529.825,AN,ANcr2
SEU-ALLEN_local_201585_15141_18166_10570_CCFv3.swc,12495.75,3093.825,3524.75,AN,ANcr2
SEU-ALLEN_local_201585_15141_22173_10016_CCFv3.swc,11746.15,3127.925,5489.675,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15141_22984_10579_CCFv3.swc,12563.275,2895.75,5798.925,FOTU,FOTU
SEU-ALLEN_local_201585_15142_29501_9291_CCFv3.swc,11014.524,3046.0,8940.274,AN,ANcr1
SEU-ALLEN_local_201585_15144_23637_10138_CCFv3.swc,11969.7,3048.75,6149.075,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15146_16781_9253_CCFv3.swc,10512.375,3436.6,3193.475,SIM,SIM
SEU-ALLEN_local_201585_15147_22365_9642_CCFv3.swc,11250.75,3198.25,5616.925,CENT,CENT3
SEU-ALLEN_local_201585_15147_28452_9507_CCFv3.swc,11288.825,3043.275,8403.176,AN,ANcr1
SEU-ALLEN_local_201585_15149_15826_9370_CCFv3.swc,10643.75,3449.525,2702.9,SIM,SIM
SEU-ALLEN_local_201585_15149_24255_10313_CCFv3.swc,12250.85,2970.65,6431.1,DEC,DEC
SEU-ALLEN_local_201585_15150_29544_9261_CCFv3.swc,10973.875,3054.6,8962.899,AN,ANcr1
SEU-ALLEN_local_201585_15152_24397_10918_CCFv3.swc,13122.525,2728.45,6469.625,FOTU,FOTU
SEU-ALLEN_local_201585_15153_15569_9765_CCFv3.swc,11193.125,3405.625,2484.15,AN,ANcr1
SEU-ALLEN_local_201585_15154_16657_9486_CCFv3.swc,10825.625,3436.825,3093.75,SIM,SIM
SEU-ALLEN_local_201585_15154_24404_10302_CCFv3.swc,12244.35,2973.1,6502.2,DEC,DEC
SEU-ALLEN_local_201585_15154_24497_9700_CCFv3.swc,11398.625,3142.7,6571.575,CENT,CENT3
SEU-ALLEN_local_201585_15155_15150_10002_CCFv3.swc,11532.399,3351.075,2211.25,AN,ANcr2
SEU-ALLEN_local_201585_15156_15709_10457_CCFv3.swc,12234.625,3210.35,2374.85,AN,ANcr2
SEU-ALLEN_local_201585_15156_22093_9633_CCFv3.swc,11231.25,3209.825,5497.125,CENT,CENT3
SEU-ALLEN_local_201585_15156_23264_9267_CCFv3.swc,10789.476,3224.725,6057.35,CENT,CENT2
SEU-ALLEN_local_201585_15158_15885_9373_CCFv3.swc,10649.125,3454.925,2732.625,SIM,SIM
SEU-ALLEN_local_201585_15159_24395_10940_CCFv3.swc,13153.25,2723.75,6466.975,FOTU,FOTU
SEU-ALLEN_local_201585_15159_24552_10494_CCFv3.swc,12530.4,2898.175,6567.375,FOTU,FOTU
SEU-ALLEN_local_201585_15160_17624_9212_CCFv3.swc,10495.2,3418.35,3586.275,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15160_23897_10544_CCFv3.swc,12558.3,2895.35,6248.075,FOTU,FOTU
SEU-ALLEN_local_201585_15161_18585_9991_CCFv3.swc,11621.45,3277.325,3885.775,fiber tracts,arb
SEU-ALLEN_local_201585_15162_20396_9698_CCFv3.swc,11255.25,3251.275,4742.25,fiber tracts,arb
SEU-ALLEN_local_201585_15162_24643_10471_CCFv3.swc,12503.825,2906.475,6611.8,FOTU,FOTU
SEU-ALLEN_local_201585_15163_20283_10776_CCFv3.swc,12838.851,2924.825,4459.85,FOTU,FOTU
SEU-ALLEN_local_201585_15164_23157_10164_CCFv3.swc,11985.425,3065.25,5924.15,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15164_25194_10185_CCFv3.swc,12126.325,2995.4,6874.225,DEC,DEC
SEU-ALLEN_local_201585_15165_20357_10863_CCFv3.swc,12968.75,2885.175,4474.95,FOTU,FOTU
SEU-ALLEN_local_201585_15166_17869_10867_CCFv3.swc,12939.375,2987.025,3294.1,AN,ANcr2
SEU-ALLEN_local_201585_15166_27345_9420_CCFv3.swc,11126.101,3097.75,7871.5,SIM,SIM
SEU-ALLEN_local_201585_15167_27320_9210_CCFv3.swc,10824.35,3133.125,7873.675,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15168_24531_10788_CCFv3.swc,12948.95,2785.7,6545.425,FOTU,FOTU
SEU-ALLEN_local_201585_15169_25613_10091_CCFv3.swc,12016.2,3013.9,7066.2,SIM,SIM
SEU-ALLEN_local_201585_15170_15921_9361_CCFv3.swc,10633.976,3462.15,2753.85,SIM,SIM
SEU-ALLEN_local_201585_15170_18441_9608_CCFv3.swc,11072.575,3350.275,3895.05,fiber tracts,arb
SEU-ALLEN_local_201585_15174_24155_9727_CCFv3.swc,11422.4,3157.875,6415.675,CENT,CENT3
SEU-ALLEN_local_201585_15175_20395_10842_CCFv3.swc,12937.175,2897.675,4497.725,FOTU,FOTU
SEU-ALLEN_local_201585_15177_27583_9647_CCFv3.swc,11468.875,3058.3,7977.125,fiber tracts,arb
SEU-ALLEN_local_201585_15178_17033_10567_CCFv3.swc,12453.926,3153.375,2988.925,AN,ANcr2
SEU-ALLEN_local_201585_15179_21342_9344_CCFv3.swc,10832.125,3267.825,5201.075,CENT,CENT2
SEU-ALLEN_local_201585_15180_24544_10931_CCFv3.swc,13151.725,2735.975,6542.375,FOTU,FOTU
SEU-ALLEN_local_201585_15180_24591_9406_CCFv3.swc,11012.825,3196.0,6634.975,CENT,CENT3
SEU-ALLEN_local_201585_15181_24463_10446_CCFv3.swc,12455.4,2931.2,6526.575,fiber tracts,arb
SEU-ALLEN_local_201585_15182_20981_9372_CCFv3.swc,10854.725,3277.05,5039.9,CENT,CENT2
SEU-ALLEN_local_201585_15182_29161_9315_CCFv3.swc,11032.7,3075.2,8767.375,AN,ANcr1
SEU-ALLEN_local_201585_15183_27061_9180_CCFv3.swc,10778.399,3154.225,7757.35,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15184_22684_9802_CCFv3.swc,11473.25,3184.8,5743.65,CENT,CENT3
SEU-ALLEN_local_201585_15185_17331_10279_CCFv3.swc,12023.0,3263.375,3226.3,AN,ANcr2
SEU-ALLEN_local_201585_15185_21263_10809_CCFv3.swc,12876.774,2880.15,4919.575,FOTU,FOTU
SEU-ALLEN_local_201585_15186_21695_10015_CCFv3.swc,11732.351,3166.95,5275.725,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15187_20239_10761_CCFv3.swc,12816.949,2946.1,4442.9,PRM,PRM
SEU-ALLEN_local_201585_15187_27689_9524_CCFv3.swc,11289.824,3083.25,8030.15,SIM,SIM
SEU-ALLEN_local_201585_15188_21880_10176_CCFv3.swc,11962.175,3115.525,5335.75,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15188_24181_10506_CCFv3.swc,12522.325,2918.55,6388.625,FOTU,FOTU
SEU-ALLEN_local_201585_15189_22279_9316_CCFv3.swc,10827.875,3253.525,5615.875,CENT,CENT2
SEU-ALLEN_local_201585_15189_28932_9353_CCFv3.swc,11078.325,3079.3,8650.1,AN,ANcr1
SEU-ALLEN_local_201585_15190_16609_9346_CCFv3.swc,10632.7,3466.05,3098.125,SIM,SIM
SEU-ALLEN_local_201585_15190_21519_10157_CCFv3.swc,11926.976,3135.325,5174.7,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15190_22786_9997_CCFv3.swc,11740.75,3141.025,5770.275,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15190_28126_8932_CCFv3.swc,10454.0,3168.175,8266.625,SIM,SIM
SEU-ALLEN_local_201585_15192_18053_10833_CCFv3.swc,12895.9,3009.375,3391.525,AN,ANcr2
SEU-ALLEN_local_201585_15192_20596_10778_CCFv3.swc,12839.125,2925.15,4607.65,FOTU,FOTU
SEU-ALLEN_local_201585_15192_25383_10312_CCFv3.swc,12326.375,2961.125,6964.601,fiber tracts,arb
SEU-ALLEN_local_201585_15192_29585_9800_CCFv3.swc,11778.425,2960.225,8978.524,AN,ANcr2
SEU-ALLEN_local_201585_15193_29129_9915_CCFv3.swc,11932.65,2950.725,8750.625,AN,ANcr2
SEU-ALLEN_local_201585_15195_22200_9310_CCFv3.swc,10818.1,3258.45,5581.825,CENT,CENT2
SEU-ALLEN_local_201585_15195_25835_9521_CCFv3.swc,11221.45,3141.925,7178.525,CENT,CENT3
SEU-ALLEN_local_201585_15200_22558_9601_CCFv3.swc,11205.6,3226.5,5707.95,CENT,CENT3
SEU-ALLEN_local_201585_15200_29514_9211_CCFv3.swc,10902.0,3092.675,8949.35,AN,ANcr1
SEU-ALLEN_local_201585_15202_17098_9691_CCFv3.swc,11136.075,3421.25,3266.675,fiber tracts,arb
SEU-ALLEN_local_201585_15204_19973_9613_CCFv3.swc,11127.125,3296.3,4567.85,fiber tracts,arb
SEU-ALLEN_local_201585_15205_22475_10815_CCFv3.swc,12884.7,2844.175,5516.575,FOTU,FOTU
SEU-ALLEN_local_201585_15206_18102_10507_CCFv3.swc,12398.851,3157.675,3515.75,AN,ANcr2
SEU-ALLEN_local_201585_15206_22718_9317_CCFv3.swc,10842.8,3254.225,5810.225,CENT,CENT2
SEU-ALLEN_local_201585_15208_22370_10551_CCFv3.swc,12506.301,2963.3,5505.6,FOTU,FOTU
SEU-ALLEN_local_201585_15209_22779_10787_CCFv3.swc,12850.95,2848.975,5672.95,FOTU,FOTU
SEU-ALLEN_local_201585_15210_20223_10755_CCFv3.swc,12808.4,2961.65,4437.05,PRM,PRM
SEU-ALLEN_local_201585_15210_20544_10906_CCFv3.swc,13030.8,2882.225,4554.9,FOTU,FOTU
SEU-ALLEN_local_201585_15210_28600_10063_CCFv3.swc,12137.149,2940.75,8493.3,AN,ANcr2
SEU-ALLEN_local_201585_15212_17948_10545_CCFv3.swc,12453.55,3150.55,3431.125,AN,ANcr2
SEU-ALLEN_local_201585_15213_21283_9312_CCFv3.swc,10790.45,3288.675,5179.825,CENT,CENT2
SEU-ALLEN_local_201585_15214_23047_10381_CCFv3.swc,12286.075,3015.225,5852.7,DEC,DEC
SEU-ALLEN_local_201585_15217_22129_10176_CCFv3.swc,11968.95,3122.425,5449.875,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15217_24361_9714_CCFv3.swc,11414.925,3176.5,6510.15,CENT,CENT3
SEU-ALLEN_local_201585_15218_23105_9581_CCFv3.swc,11196.074,3227.85,5955.125,CENT,CENT3
SEU-ALLEN_local_201585_15219_16483_10141_CCFv3.swc,11781.775,3347.225,2856.85,AN,ANcr2
SEU-ALLEN_local_201585_15219_18282_10002_CCFv3.swc,11632.325,3318.925,3746.8,fiber tracts,arb
SEU-ALLEN_local_201585_15219_22097_10818_CCFv3.swc,12885.55,2863.15,5327.625,FOTU,FOTU
SEU-ALLEN_local_201585_15220_16761_10196_CCFv3.swc,11876.3,3325.225,2978.0,AN,ANcr2
SEU-ALLEN_local_201585_15222_23302_9968_CCFv3.swc,11720.875,3151.225,6008.85,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15223_16599_9364_CCFv3.swc,10658.075,3484.3,3091.4,SIM,SIM
SEU-ALLEN_local_201585_15223_28282_9675_CCFv3.swc,11538.15,3060.85,8315.7,AN,ANcr1
SEU-ALLEN_local_201585_15224_26824_9226_CCFv3.swc,10840.725,3176.025,7646.3,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15225_16383_9165_CCFv3.swc,10384.9,3487.125,3023.6,SIM,SIM
SEU-ALLEN_local_201585_15226_17783_9317_CCFv3.swc,10648.024,3439.05,3644.325,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15226_25197_9490_CCFv3.swc,11151.899,3188.35,6898.525,fiber tracts,arb
SEU-ALLEN_local_201585_15228_22084_10029_CCFv3.swc,11763.7,3173.4,5449.45,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15228_25096_10384_CCFv3.swc,12411.625,2962.875,6830.425,fiber tracts,arb
SEU-ALLEN_local_201585_15228_26926_9922_CCFv3.swc,11851.125,3042.675,7671.3,fiber tracts,arb
SEU-ALLEN_local_201585_15229_21480_10000_CCFv3.swc,11706.825,3199.675,5181.925,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15230_16863_10222_CCFv3.swc,11920.324,3319.8,3020.025,AN,ANcr2
SEU-ALLEN_local_201585_15231_18036_10441_CCFv3.swc,12295.774,3200.75,3506.6,AN,ANcr2
SEU-ALLEN_local_201585_15231_22589_9812_CCFv3.swc,11485.399,3209.575,5700.55,CENT,CENT3
SEU-ALLEN_local_201585_15232_21008_10429_CCFv3.swc,12315.05,3076.925,4883.25,DEC,DEC
SEU-ALLEN_local_201585_15233_24298_9947_CCFv3.swc,11735.05,3133.35,6468.05,fiber tracts,arb
SEU-ALLEN_local_201585_15235_17148_10234_CCFv3.swc,11949.5,3311.5,3154.425,AN,ANcr2
SEU-ALLEN_local_201585_15235_18400_9604_CCFv3.swc,11068.399,3386.425,3878.125,fiber tracts,arb
SEU-ALLEN_local_201585_15236_16645_10160_CCFv3.swc,11817.45,3347.775,2932.325,AN,ANcr2
SEU-ALLEN_local_201585_15237_20294_9422_CCFv3.swc,10894.101,3321.125,4734.225,CENT,CENT2
SEU-ALLEN_local_201585_15237_23933_9617_CCFv3.swc,11269.825,3214.725,6324.55,CENT,CENT3
SEU-ALLEN_local_201585_15237_25789_9657_CCFv3.swc,11410.725,3141.15,7151.375,fiber tracts,arb
SEU-ALLEN_local_201585_15238_20978_10425_CCFv3.swc,12309.024,3082.925,4870.275,DEC,DEC
